student_id,centre_id,distance
S00018,C003,762.926
S00018,C004,741.265
S00018,C005,822.167
S00018,C006,54.245
S00018,C007,222.496
S00018,C008,213.576
S00018,C009,419.486
S00018,C010,535.094
S00018,C011,614.769
S00018,C012,648.148
S00018,C013,708.037
S00018,C014,708.826
S00018,C015,857.904
S00018,C016,279.444
S00018,C017,385.272
S00018,C018,507.518
S00018,C019,572.141
S00018,C020,436.876
S00019,C001,693.615
S00019,C002,639.804
S00019,C003,756.46
S00019,C004,733.927
S00019,C005,814.03
S00019,C006,43.478
S00019,C007,211.727
S00019,C008,203.502
S00019,C009,409.119
S00019,C010,524.66
S00019,C011,604.002
S00019,C012,637.581
S00019,C013,697.677
S00019,C014,698.977
S00019,C015,848.662
S00019,C016,282.505
S00019,C017,384.388
S00019,C018,507.204
S00019,C019,570.649
S00019,C020,429.143
S00020,C001,76.86
S00020,C002,73.2
S00020,C003,170.957
S00020,C004,234.552
S00020,C005,344.906
S00020,C006,674.868
S00020,C007,634.876
S00020,C008,711.857
S00020,C009,752.689
S00020,C010,796.118
S00020,C011,700.686
S00020,C012,614.006
S00020,C013,587.982
S00020,C014,498.175
S00020,C015,485.877
S00020,C016,516.015
S00020,C017,356.485
S00020,C018,299.525
S00020,C019,218.147
S00020,C020,331.792
S00021,C001,204.272
S00021,C002,226.718
S00021,C003,379.676
S00021,C004,412.103
S00021,C005,526.907
S00021,C006,499.099
S00021,C007,512.097
S00021,C008,580.725
S00021,C009,682.59
S00021,C010,756.741
S00021,C011,710.617
S00021,C012,655.657
S00021,C013,659.168
S00021,C014,591.043
S00021,C015,642.515
S00021,C016,286.378
S00021,C017,129.689
S00021,C018,78.323
S00021,C019,69.241
S00021,C020,293.847
S00022,C001,154.313
S00022,C002,38.85
S00022,C003,181.41
S00022,C004,209.656
S00022,C005,324.977
S00022,C006,580.758
S00022,C007,531.856
S00022,C008,609.22
S00022,C009,648.334
S00022,C010,694.406
S00022,C011,606.363
S00022,C012,526.496
S00022,C013,509.486
S00022,C014,426.51
S00022,C015,448.095
S00022,C016,453.803
S00022,C017,298.722
S00022,C018,279.202
S00022,C019,217.508
S00022,C020,226.967
S00023,C001,654.852
S00023,C002,589.84
S00023,C003,698.718
S00023,C004,671.503
S00023,C005,747.482
S00023,C006,34.053
S00023,C007,142.391
S00023,C008,152.134
S00023,C009,349.154
S00023,C010,463.021
S00023,C011,533.295
S00023,C012,564.127
S00023,C013,623.849
S00023,C014,625.825
S00023,C015,777.37
S00023,C016,293.132
S00023,C017,365.06
S00023,C018,489.808
S00023,C019,544.71
S00023,C020,365.558
S00024,C001,260.021
S00024,C002,157.655
S00024,C003,21.142
S00024,C004,61.214
S00024,C005,161.552
S00024,C006,720.389
S00024,C007,637.632
S00024,C008,715.235
S00024,C009,703.763
S00024,C010,721.113
S00024,C011,596.055
S00024,C012,493.506
S00024,C013,449.467
S00024,C014,352.405
S00024,C015,306.444
S00024,C016,631.831
S00024,C017,479.811
S00024,C018,457.874
S00024,C019,386.907
S00024,C020,326.094
S00025,C001,896.516
S00025,C002,774.232
S00025,C003,792.932
S00025,C004,723.034
S00025,C005,725.809
S00025,C006,503.952
S00025,C007,352.894
S00025,C008,341.028
S00025,C009,138.747
S00025,C010,52.205
S00025,C011,213.534
S00025,C012,326.651
S00025,C013,406.575
S00025,C014,484.191
S00025,C015,656.858
S00025,C016,749.799
S00025,C017,746.732
S00025,C018,854.142
S00025,C019,868.025
S00025,C020,526.742
S00026,C001,563.012
S00026,C002,429.53
S00026,C003,352.06
S00026,C004,270.134
S00026,C005,214.876
S00026,C006,700.812
S00026,C007,557.19
S00026,C008,620.703
S00026,C009,515.674
S00026,C010,483.833
S00026,C011,322.616
S00026,C012,207.097
S00026,C013,135.751
S00026,C014,49.451
S00026,C015,127.622
S00026,C016,751.146
S00026,C017,639.927
S00026,C018,678.524
S00026,C019,636.357
S00026,C020,359.0
S00027,C001,434.864
S00027,C002,319.458
S00027,C003,380.155
S00027,C004,335.84
S00027,C005,401.142
S00027,C006,381.517
S00027,C007,273.832
S00027,C008,350.817
S00027,C009,361.461
S00027,C010,413.098
S00027,C011,355.734
S00027,C012,313.26
S00027,C013,338.418
S00027,C014,304.35
S00027,C015,435.412
S00027,C016,422.645
S00027,C017,339.999
S00027,C018,419.349
S00027,C019,414.907
S00027,C020,64.429
S00028,C001,936.264
S00028,C002,813.455
S00028,C003,829.772
S00028,C004,758.942
S00028,C005,758.462
S00028,C006,535.433
S00028,C007,388.307
S00028,C008,371.641
S00028,C009,174.586
S00028,C010,90.512
S00028,C011,239.397
S00028,C012,354.383
S00028,C013,432.704
S00028,C014,513.992
S00028,C015,684.549
S00028,C016,786.665
S00028,C017,786.128
S00028,C018,894.046
S00028,C019,908.231
S00028,C020,566.788
S00029,C001,753.172
S00029,C002,649.782
S00029,C003,711.092
S00029,C004,657.714
S00029,C005,697.814
S00029,C006,269.511
S00029,C007,123.613
S00029,C008,109.401
S00029,C009,98.426
S00029,C010,214.32
S00029,C011,320.704
S00029,C012,389.139
S00029,C013,465.235
S00029,C014,503.799
S00029,C015,677.767
S00029,C016,523.557
S00029,C017,543.533
S00029,C018,660.651
S00029,C019,690.428
S00029,C020,388.42
S00030,C001,769.226
S00030,C002,709.919
S00030,C003,820.637
S00030,C004,793.056
S00030,C005,867.104
S00030,C006,90.387
S00030,C007,224.838
S00030,C008,187.924
S00030,C009,392.956
S00030,C010,508.795
S00030,C011,608.682
S00030,C012,655.853
S00030,C013,721.821
S00030,C014,733.316
S00030,C015,890.763
S00030,C016,359.529
S00030,C017,463.614
S00030,C018,586.646
S00030,C019,649.336
S00030,C020,487.075
S00031,C001,325.587
S00031,C002,252.676
S00031,C003,102.299
S00031,C004,130.25
S00031,C005,149.625
S00031,C006,826.233
S00031,C007,738.028
S00031,C008,815.079
S00031,C009,789.294
S00031,C010,795.731
S00031,C011,657.686
S00031,C012,548.047
S00031,C013,491.577
S00031,C014,393.252
S00031,C015,296.16
S00031,C016,736.045
S00031,C017,581.865
S00031,C018,549.379
S00031,C019,472.449
S00031,C020,429.832
S00032,C001,476.869
S00032,C002,444.917
S00032,C003,580.398
S00032,C004,576.933
S00032,C005,675.126
S00032,C006,228.475
S00032,C007,301.28
S00032,C008,349.158
S00032,C009,510.181
S00032,C010,611.492
S00032,C011,630.091
S00032,C012,621.79
S00032,C013,659.439
S00032,C014,628.668
S00032,C015,745.005
S00032,C016,106.386
S00032,C017,156.995
S00032,C018,280.023
S00032,C019,344.27
S00032,C020,302.441
S00033,C001,46.553
S00033,C002,92.202
S00033,C003,218.953
S00033,C004,276.853
S00033,C005,389.774
S00033,C006,647.206
S00033,C007,618.987
S00033,C008,694.828
S00033,C009,749.524
S00033,C010,799.945
S00033,C011,714.172
S00033,C012,633.265
S00033,C013,613.118
S00033,C014,526.746
S00033,C015,527.168
S00033,C016,472.878
S00033,C017,313.484
S00033,C018,249.611
S00033,C019,167.315
S00033,C020,326.909
S00034,C001,653.625
S00034,C002,517.527
S00034,C003,471.895
S00034,C004,391.008
S00034,C005,356.156
S00034,C006,638.258
S00034,C007,479.179
S00034,C008,531.384
S00034,C009,394.031
S00034,C010,346.204
S00034,C011,179.725
S00034,C012,65.881
S00034,C013,18.057
S00034,C014,103.704
S00034,C015,265.491
S00034,C016,745.735
S00034,C017,660.548
S00034,C018,723.011
S00034,C019,696.693
S00034,C020,369.483
S00035,C001,406.167
S00035,C002,305.788
S00035,C003,393.178
S00035,C004,362.061
S00035,C005,441.636
S00035,C006,342.664
S00035,C007,264.031
S00035,C008,341.942
S00035,C009,391.535
S00035,C010,457.613
S00035,C011,417.553
S00035,C012,381.651
S00035,C013,407.796
S00035,C014,370.616
S00035,C015,491.941
S00035,C016,354.101
S00035,C017,272.555
S00035,C018,358.833
S00035,C019,363.512
S00035,C020,56.119
S00036,C001,591.483
S00036,C002,455.465
S00036,C003,403.421
S00036,C004,322.254
S00036,C005,288.681
S00036,C006,639.919
S00036,C007,488.841
S00036,C008,548.273
S00036,C009,432.86
S00036,C010,399.263
S00036,C011,239.739
S00036,C012,124.665
S00036,C013,67.536
S00036,C014,36.931
S00036,C015,211.624
S00036,C016,719.298
S00036,C017,622.435
S00036,C018,675.929
S00036,C019,643.885
S00036,C020,332.439
S00037,C001,363.189
S00037,C002,238.494
S00037,C003,289.468
S00037,C004,247.628
S00037,C005,322.469
S00037,C006,460.12
S00037,C007,363.467
S00037,C008,440.854
S00037,C009,444.695
S00037,C010,484.696
S00037,C011,401.572
S00037,C012,334.693
S00037,C013,337.95
S00037,C014,279.12
S00037,C015,378.893
S00037,C016,452.841
S00037,C017,341.04
S00037,C018,394.993
S00037,C019,372.429
S00037,C020,65.152
S00038,C001,654.445
S00038,C002,584.477
S00038,C003,689.058
S00038,C004,659.158
S00038,C005,732.338
S00038,C006,55.285
S00038,C007,116.266
S00038,C008,129.702
S00038,C009,323.639
S00038,C010,437.206
S00038,C011,507.49
S00038,C012,539.75
S00038,C013,600.48
S00038,C014,604.635
S00038,C015,758.356
S00038,C016,311.372
S00038,C017,373.66
S00038,C018,498.278
S00038,C019,549.831
S00038,C020,353.331
S00039,C001,697.884
S00039,C002,615.549
S00039,C003,706.431
S00039,C004,667.968
S00039,C005,730.518
S00039,C006,118.789
S00039,C007,65.714
S00039,C008,50.883
S00039,C009,248.953
S00039,C010,364.168
S00039,C011,449.378
S00039,C012,494.751
S00039,C013,561.725
S00039,C014,577.939
S00039,C015,740.681
S00039,C016,388.75
S00039,C017,438.262
S00039,C018,561.654
S00039,C019,606.432
S00039,C020,367.622
S00040,C001,638.725
S00040,C002,502.616
S00040,C003,452.939
S00040,C004,371.733
S00040,C005,334.706
S00040,C006,645.984
S00040,C007,488.971
S00040,C008,543.291
S00040,C009,411.362
S00040,C010,366.538
S00040,C011,201.016
S00040,C012,86.307
S00040,C013,18.945
S00040,C014,82.563
S00040,C015,244.223
S00040,C016,744.761
S00040,C017,655.453
S00040,C018,714.63
S00040,C019,686.012
S00040,C020,364.265
S00041,C001,790.891
S00041,C002,657.047
S00041,C003,634.254
S00041,C004,555.693
S00041,C005,530.45
S00041,C006,611.855
S00041,C007,443.609
S00041,C008,472.558
S00041,C009,287.706
S00041,C010,201.909
S00041,C011,51.459
S00041,C012,120.182
S00041,C013,185.077
S00041,C014,277.966
S00041,C015,436.726
S00041,C016,785.603
S00041,C017,733.063
S00041,C018,816.764
S00041,C019,806.43
S00041,C020,456.978
S00042,C001,138.634
S00042,C002,245.339
S00042,C003,379.652
S00042,C004,436.833
S00042,C005,550.564
S00042,C006,643.265
S00042,C007,657.009
S00042,C008,726.499
S00042,C009,820.699
S00042,C010,888.301
S00042,C011,826.519
S00042,C012,758.721
S00042,C013,749.54
S00042,C014,669.81
S00042,C015,685.633
S00042,C016,406.049
S00042,C017,264.003
S00042,C018,150.248
S00042,C019,77.502
S00042,C020,413.755
S00043,C001,710.842
S00043,C002,575.194
S00043,C003,510.761
S00043,C004,428.713
S00043,C005,372.058
S00043,C006,719.864
S00043,C007,558.804
S00043,C008,607.663
S00043,C009,456.399
S00043,C010,392.231
S00043,C011,221.814
S00043,C012,129.611
S00043,C013,68.48
S00043,C014,140.97
S00043,C015,252.309
S00043,C016,828.585
S00043,C017,739.764
S00043,C018,797.232
S00043,C019,766.167
S00043,C020,448.616
S00044,C001,495.743
S00044,C002,359.781
S00044,C003,312.833
S00044,C004,233.423
S00044,C005,223.179
S00044,C006,612.313
S00044,C007,476.005
S00044,C008,543.776
S00044,C009,463.389
S00044,C010,452.264
S00044,C011,309.375
S00044,C012,202.212
S00044,C013,162.718
S00044,C014,78.008
S00044,C015,199.84
S00044,C016,654.634
S00044,C017,545.421
S00044,C018,589.554
S00044,C019,552.847
S00044,C020,262.513
S00045,C001,401.665
S00045,C002,283.0
S00045,C003,341.545
S00045,C004,298.726
S00045,C005,368.344
S00045,C006,412.972
S00045,C007,311.525
S00045,C008,388.811
S00045,C009,397.689
S00045,C010,444.535
S00045,C011,375.762
S00045,C012,322.235
S00045,C013,338.1
S00045,C014,293.158
S00045,C015,412.049
S00045,C016,430.738
S00045,C017,334.607
S00045,C018,403.933
S00045,C019,392.314
S00045,C020,43.846
S00046,C001,475.341
S00046,C002,453.877
S00046,C003,593.853
S00046,C004,594.996
S00046,C005,696.05
S00046,C006,252.13
S00046,C007,335.955
S00046,C008,381.135
S00046,C009,545.907
S00046,C010,647.797
S00046,C011,666.211
S00046,C012,656.344
S00046,C013,692.462
S00046,C014,659.157
S00046,C015,771.035
S00046,C016,70.122
S00046,C017,145.963
S00046,C018,263.825
S00046,C019,334.263
S00046,C020,329.983
S00047,C001,583.374
S00047,C002,468.466
S00047,C003,338.705
S00047,C004,274.824
S00047,C005,161.946
S00047,C006,870.025
S00047,C007,735.895
S00047,C008,802.802
S00047,C009,703.825
S00047,C010,667.797
S00047,C011,501.741
S00047,C012,387.73
S00047,C013,308.396
S00047,C014,237.615
S00047,C015,61.261
S00047,C016,878.524
S00047,C017,747.114
S00047,C018,757.322
S00047,C019,697.384
S00047,C020,496.028
S00048,C001,725.288
S00048,C002,590.44
S00048,C003,562.13
S00048,C004,483.076
S00048,C005,457.307
S00048,C006,605.7
S00048,C007,439.347
S00048,C008,479.489
S00048,C009,315.504
S00048,C010,250.722
S00048,C011,80.289
S00048,C012,47.67
S00048,C013,115.093
S00048,C014,205.025
S00048,C015,367.775
S00048,C016,753.544
S00048,C017,688.476
S00048,C018,765.125
S00048,C019,749.382
S00048,C020,404.558
S00049,C001,87.943
S00049,C002,65.237
S00049,C003,160.64
S00049,C004,223.456
S00049,C005,334.067
S00049,C006,673.083
S00049,C007,630.41
S00049,C008,707.579
S00049,C009,745.721
S00049,C010,787.996
S00049,C011,691.256
S00049,C012,603.939
S00049,C013,577.368
S00049,C014,487.325
S00049,C015,474.769
S00049,C016,519.022
S00049,C017,359.625
S00049,C018,306.079
S00049,C019,225.782
S00049,C020,325.593
S00050,C001,613.223
S00050,C002,513.787
S00050,C003,586.859
S00050,C004,541.18
S00050,C005,596.385
S00050,C006,228.455
S00050,C007,73.562
S00050,C008,145.85
S00050,C009,206.168
S00050,C010,302.042
S00050,C011,339.825
S00050,C012,366.403
S00050,C013,428.334
S00050,C014,439.563
S00050,C015,601.884
S00050,C016,414.358
S00050,C017,410.77
S00050,C018,524.149
S00050,C019,550.376
S00050,C020,254.006
S00051,C001,538.479
S00051,C002,527.818
S00051,C003,670.533
S00051,C004,673.891
S00051,C005,775.657
S00051,C006,256.298
S00051,C007,374.374
S00051,C008,406.288
S00051,C009,588.322
S00051,C010,695.568
S00051,C011,728.175
S00051,C012,725.787
S00051,C013,765.552
S00051,C014,735.807
S00051,C015,850.431
S00051,C016,53.2
S00051,C017,205.598
S00051,C018,308.192
S00051,C019,387.317
S00051,C020,408.664
S00052,C001,299.505
S00052,C002,191.135
S00052,C003,58.701
S00052,C004,29.709
S00052,C005,121.988
S00052,C006,726.52
S00052,C007,635.234
S00052,C008,712.2
S00052,C009,689.226
S00052,C010,700.645
S00052,C011,569.853
S00052,C012,464.516
S00052,C013,416.664
S00052,C014,318.766
S00052,C015,266.214
S00052,C016,653.768
S00052,C017,504.819
S00052,C018,490.057
S00052,C019,421.744
S00052,C020,328.657
S00053,C001,744.438
S00053,C002,610.522
S00053,C003,588.804
S00053,C004,510.713
S00053,C005,489.117
S00053,C006,589.823
S00053,C007,422.249
S00053,C008,457.991
S00053,C009,286.357
S00053,C010,216.713
S00053,C011,46.163
S00053,C012,76.679
S00053,C013,149.714
S00053,C014,237.572
S00053,C015,402.317
S00053,C016,750.391
S00053,C017,692.444
S00053,C018,773.638
S00053,C019,761.649
S00053,C020,413.291
S00054,C001,765.992
S00054,C002,648.152
S00054,C003,681.757
S00054,C004,617.73
S00054,C005,637.472
S00054,C006,390.403
S00054,C007,227.678
S00054,C008,236.986
S00054,C009,50.682
S00054,C010,99.441
S00054,C011,196.095
S00054,C012,280.161
S00054,C013,360.631
S00054,C014,416.289
S00054,C015,593.35
S00054,C016,616.319
S00054,C017,607.879
S00054,C018,715.254
S00054,C019,730.577
S00054,C020,394.192
S00055,C001,109.019
S00055,C002,220.749
S00055,C003,351.529
S00055,C004,410.472
S00055,C005,523.574
S00055,C006,652.038
S00055,C007,658.218
S00055,C008,729.173
S00055,C009,816.17
S00055,C010,880.495
S00055,C011,813.532
S00055,C012,742.669
S00055,C013,730.854
S00055,C014,649.304
S00055,C015,660.159
S00055,C016,424.319
S00055,C017,277.197
S00055,C018,170.297
S00055,C019,88.861
S00055,C020,404.027
S00056,C001,748.781
S00056,C002,662.612
S00056,C003,747.548
S00056,C004,705.211
S00056,C005,761.842
S00056,C006,157.259
S00056,C007,95.869
S00056,C008,20.54
S00056,C009,220.89
S00056,C010,336.926
S00056,C011,440.719
S00056,C012,498.144
S00056,C013,569.581
S00056,C014,594.733
S00056,C015,762.381
S00056,C016,440.623
S00056,C017,493.098
S00056,C018,616.425
S00056,C019,660.445
S00056,C020,409.926
S00057,C001,386.336
S00057,C002,269.006
S00057,C003,332.599
S00057,C004,292.995
S00057,C005,366.928
S00057,C006,414.939
S00057,C007,319.277
S00057,C008,396.936
S00057,C009,411.692
S00057,C010,460.064
S00057,C011,391.773
S00057,C012,337.089
S00057,C013,351.059
S00057,C014,303.071
S00057,C015,416.507
S00057,C016,421.621
S00057,C017,321.602
S00057,C018,388.751
S00057,C019,376.322
S00057,C020,30.518
S00058,C001,70.167
S00058,C002,154.392
S00058,C003,292.129
S00058,C004,346.414
S00058,C005,460.662
S00058,C006,623.422
S00058,C007,614.533
S00058,C008,687.819
S00058,C009,762.588
S00058,C010,822.351
S00058,C011,749.857
S00058,C012,676.679
S00058,C013,663.567
S00058,C014,581.631
S00058,C015,594.736
S00058,C016,421.807
S00058,C017,265.374
S00058,C018,183.241
S00058,C019,97.324
S00058,C020,344.984
S00059,C001,356.847
S00059,C002,373.161
S00059,C003,524.688
S00059,C004,546.079
S00059,C005,657.473
S00059,C006,403.029
S00059,C007,463.761
S00059,C008,519.428
S00059,C009,662.168
S00059,C010,753.801
S00059,C011,742.603
S00059,C012,710.153
S00059,C013,730.261
S00059,C014,677.702
S00059,C015,757.923
S00059,C016,139.213
S00059,C017,57.719
S00059,C018,116.876
S00059,C019,198.095
S00059,C020,348.869
S00060,C001,721.15
S00060,C002,657.675
S00060,C003,766.036
S00060,C004,737.503
S00060,C005,811.132
S00060,C006,41.005
S00060,C007,174.947
S00060,C008,151.685
S00060,C009,358.984
S00060,C010,475.049
S00060,C011,564.414
S00060,C012,606.282
S00060,C013,670.449
S00060,C014,679.344
S00060,C015,835.529
S00060,C016,334.586
S00060,C017,423.987
S00060,C018,548.278
S00060,C019,606.915
S00060,C020,431.553
S00061,C001,180.46
S00061,C002,248.635
S00061,C003,396.857
S00061,C004,442.149
S00061,C005,557.756
S00061,C006,566.92
S00061,C007,587.383
S00061,C008,655.028
S00061,C009,758.856
S00061,C010,832.104
S00061,C011,781.717
S00061,C012,722.179
S00061,C013,720.789
S00061,C014,647.597
S00061,C015,683.425
S00061,C016,329.938
S00061,C017,186.429
S00061,C018,76.226
S00061,C019,17.952
S00061,C020,364.997
S00062,C001,828.776
S00062,C002,727.68
S00062,C003,790.246
S00062,C004,736.466
S00062,C005,774.429
S00062,C006,290.774
S00062,C007,180.369
S00062,C008,130.038
S00062,C009,122.67
S00062,C010,227.922
S00062,C011,365.741
S00062,C012,447.921
S00062,C013,526.898
S00062,C014,573.073
S00062,C015,748.693
S00062,C016,568.925
S00062,C017,605.146
S00062,C018,725.185
S00062,C019,759.774
S00062,C020,466.517
S00063,C001,46.136
S00063,C002,150.34
S00063,C003,230.823
S00063,C004,303.223
S00063,C005,407.954
S00063,C006,723.617
S00063,C007,696.967
S00063,C008,772.869
S00063,C009,824.508
S00063,C010,871.481
S00063,C011,778.767
S00063,C012,692.486
S00063,C013,665.8
S00063,C014,575.114
S00063,C015,553.401
S00063,C016,536.786
S00063,C017,379.035
S00063,C018,297.772
S00063,C019,210.777
S00063,C020,402.041
S00064,C001,348.099
S00064,C002,229.767
S00064,C003,298.124
S00064,C004,264.186
S00064,C005,346.322
S00064,C006,440.516
S00064,C007,353.98
S00064,C008,431.927
S00064,C009,450.919
S00064,C010,498.0
