student_id,pref_1,pref_2,pref_3
S00197,C001,C019,C014
S00198,C010,C009,C011
S00199,C018,C001,C019
S00200,C020,C004,C019
S00201,C005,C018,C015
S00202,C020,C019,C018
S00203,C009,C013,C012
S00204,C008,C016,C007
S00205,C019,C018,C002
S00206,C015,C016,C018
S00207,C014,C004,C008
S00208,C013,C011,C015
S00209,C004,C009,C011
S00210,C017,C001,C004
S00211,C015,C011,C001
S00212,C008,C009,C011
S00213,C016,C001,C002
S00214,C016,C019,C020
S00215,C003,C004,C014
S00216,C020,C012,C007
S00217,C001,C019,C017
S00218,C013,C003,C011
S00219,C004,C005,C014
S00220,C001,C020,C019
S00221,C001,C019,C007
S00222,C006,C002,C004
S00223,C003,C004,C002
S00224,C008,C007,C004
S00225,C012,C013,C005
S00226,C018,C003,C012
S00227,C002,C018,C001
S00228,C019,C001,C017
S00229,C001,C012,C003
S00230,C017,C003,C018
S00231,C017,C001,C002
S00232,C002,C001,C020
S00233,C017,C018,C002
S00234,C013,C012,C009
S00235,C017,C004,C016
S00236,C002,C004,C001
S00237,C002,C001,C019
S00238,C010,C007,C015
S00239,C012,C016,C013
S00240,C015,C003,C001
S00241,C012,C010,C011
S00242,C018,C016,C019
S00243,C010,C003,C001
S00244,C004,C020,C002
S00245,C006,C020,C007
S00246,C003,C002,C005
S00247,C009,C010,C014
S00248,C009,C013,C010
S00249,C010,C013,C014
S00250,C002,C005,C018
S00251,C016,C017,C007
S00252,C013,C014,C012
S00253,C010,C008,C001
S00254,C020,C001,C017
S00255,C017,C013,C006
S00256,C005,C015,C017
S00257,C006,C003,C002
S00258,C019,C020,C018
S00259,C012,C014,C004
S00260,C003,C019,C005
S00261,C008,C002,C020
S00262,C002,C017,C016
S00263,C004,C017,C018
S00264,C002,C004,C003
S00265,C001,C018,C019
S00266,C005,C009,C015
S00267,C014,C013,C009
S00268,C008,C009,C014
S00269,C011,C010,C007
S00270,C018,C001,C017
S00271,C016,C001,C018
S00272,C016,C019,C017
S00273,C013,C015,C011
S00274,C009,C010,C006
S00275,C019,C013,C020
S00276,C007,C014,C015
S00277,C004,C003,C020
S00278,C018,C019,C017
S00279,C006,C008,C015
S00280,C018,C005,C019
S00281,C003,C002,C001
S00282,C001,C018,C019
S00283,C002,C005,C014
S00284,C004,C016,C017
S00285,C009,C010,C012
S00286,C002,C017,C020
S00287,C010,C009,C014
S00288,C004,C008,C018
S00289,C001,C002,C004
S00290,C013,C009,C014
S00291,C010,C020,C011
S00292,C004,C012,C014
S00293,C003,C013,C004
S00294,C011,C010,C012
S00295,C020,C006,C003
S00296,C008,C015,C006
S00297,C015,C014,C013
S00298,C004,C011,C002
S00299,C019,C008,C011
S00300,C008,C018,C007
S00301,C009,C007,C006
S00302,C014,C013,C015
S00303,C015,C012,C005
S00304,C014,C003,C005
S00305,C008,C007,C016
S00306,C003,C015,C005
S00307,C019,C018,C001
S00308,C005,C013,C017
S00309,C003,C004,C005
S00310,C004,C008,C015
S00311,C007,C016,C008
S00312,C015,C008,C003
S00313,C001,C018,C002
S00314,C012,C010,C014
S00315,C020,C004,C008
S00316,C019,C018,C006
S00317,C013,C012,C009
S00318,C015,C008,C006
S00319,C019,C018,C002
S00320,C019,C001,C018
S00321,C012,C009,C013
S00322,C003,C005,C012
S00323,C006,C017,C018
S00324,C015,C007,C003
S00325,C013,C015,C016
S00326,C018,C006,C013
S00327,C003,C020,C004
S00328,C005,C008,C004
S00329,C002,C003,C004
S00330,C014,C008,C002
S00331,C009,C008,C019
S00332,C004,C005,C007
S00333,C001,C018,C019
S00334,C010,C007,C009
S00335,C006,C007,C008
S00336,C005,C015,C016
S00337,C003,C010,C002
S00338,C018,C003,C019
S00339,C013,C014,C004
S00340,C001,C005,C007
S00341,C008,C006,C010
S00342,C006,C012,C008
S00343,C001,C019,C018
S00344,C001,C007,C005
S00345,C005,C020,C019
S00346,C015,C012,C005
S00347,C007,C017,C004
S00348,C013,C011,C017
S00349,C007,C008,C001
S00350,C009,C014,C006
S00351,C013,C019,C005
S00352,C002,C020,C004
S00353,C016,C004,C012
S00354,C002,C019,C020
S00355,C008,C002,C013
S00356,C002,C015,C013
S00357,C014,C012,C013
S00358,C007,C006,C008
S00359,C011,C012,C014
S00360,C004,C005,C015
S00361,C004,C009,C005
S00362,C016,C019,C017
S00363,C014,C010,C013
S00364,C019,C018,C020
S00365,C017,C003,C016
S00366,C017,C016,C018
S00367,C013,C017,C005
S00368,C013,C014,C002
S00369,C010,C011,C007
S00370,C003,C004,C002
S00371,C009,C004,C019
S00372,C019,C016,C017
S00373,C018,C019,C001
S00374,C007,C006,C008
S00375,C019,C010,C018
S00376,C010,C003,C002
S00377,C014,C013,C001
S00378,C007,C017,C019
S00379,C014,C004,C002
S00380,C016,C020,C013
S00381,C019,C010,C011
S00382,C011,C010,C009
S00383,C009,C010,C020
S00384,C009,C014,C010
S00385,C017,C002,C019
S00386,C016,C020,C014
S00387,C012,C008,C006
S00388,C005,C019,C003
S00389,C006,C008,C013
S00390,C020,C001,C014
S00391,C014,C007,C011
S00392,C012,C008,C011
S00393,C020,C006,C004
S00394,C017,C006,C009
S00395,C006,C015,C016
S00396,C019,C018,C002
S00397,C019,C003,C002
S00398,C012,C006,C013
S00399,C018,C003,C012
S00400,C020,C002,C011
S00401,C012,C014,C011
S00402,C011,C002,C005
S00403,C019,C004,C017
S00404,C007,C008,C018
S00405,C014,C010,C001
S00406,C005,C015,C013
S00407,C006,C018,C020
S00408,C016,C017,C012
S00409,C010,C014,C017
S00410,C010,C003,C002
S00411,C004,C003,C016
S00412,C003,C004,C005
S00413,C005,C015,C019
S00414,C017,C018,C020
S00415,C009,C011,C008
S00416,C011,C012,C010
S00417,C011,C008,C007
S00418,C014,C015,C012
S00419,C005,C015,C014
S00420,C012,C015,C019
S00421,C009,C016,C008
S00422,C009,C013,C007
S00423,C017,C011,C016
S00424,C001,C015,C002
S00425,C011,C003,C014
S00426,C020,C006,C016
S00427,C005,C020,C004
S00428,C001,C002,C005
S00429,C015,C005,C002
S00430,C010,C009,C014
S00431,C009,C013,C002
S00432,C013,C014,C015
S00433,C013,C011,C010
S00434,C010,C009,C005
S00435,C019,C020,C017
S00436,C019,C001,C018
S00437,C020,C015,C005
S00438,C002,C001,C019
S00439,C005,C020,C004
S00440,C005,C011,C013
S00441,C016,C017,C006
S00442,C013,C014,C020
S00443,C015,C011,C014
S00444,C013,C020,C018
S00445,C003,C008,C006
S00446,C006,C009,C008
S00447,C014,C015,C005
S00448,C005,C004,C014
S00449,C013,C014,C010
S00450,C014,C018,C007
S00451,C010,C011,C002
S00452,C002,C001,C006
S00453,C009,C015,C008
S00454,C010,C011,C015
S00455,C002,C019,C020
S00456,C017,C015,C004
S00457,C015,C003,C019
S00458,C004,C016,C017
S00459,C013,C010,C008
S00460,C004,C012,C005
S00461,C013,C012,C015
S00462,C018,C012,C013
S00463,C001,C015,C017
S00464,C009,C020,C007
S00465,C009,C007,C008
S00466,C011,C004,C014
S00467,C013,C011,C012
S00468,C006,C003,C020
S00469,C005,C002,C010
S00470,C014,C003,C004
S00471,C001,C018,C015
S00472,C015,C013,C005
S00473,C013,C007,C012
S00474,C015,C008,C009
S00475,C019,C005,C003
S00476,C011,C008,C010
S00477,C007,C008,C018
S00478,C010,C007,C016
S00479,C014,C011,C015
S00480,C006,C002,C019
S00481,C015,C005,C019
S00482,C006,C016,C004
S00483,C018,C019,C001
S00484,C011,C007,C013
S00485,C011,C009,C007
S00486,C018,C019,C005
S00487,C002,C003,C013
S00488,C019,C018,C002
S00489,C006,C005,C010
S00490,C002,C003,C005
S00491,C019,C018,C005
S00492,C002,C019,C018
S00493,C009,C010,C014
S00494,C011,C009,C012
S00495,C016,C003,C015
S00496,C009,C008,C007
S00497,C019,C001,C004
S00498,C006,C007,C018
S00499,C009,C002,C011
S00500,C016,C006,C008
S00501,C007,C010,C014
S00502,C013,C019,C012
S00503,C011,C009,C005
S00504,C016,C017,C020
S00505,C015,C003,C002
S00506,C007,C006,C008
S00507,C014,C012,C015
S00508,C020,C001,C012
S00509,C002,C001,C010
S00510,C003,C017,C013
S00511,C014,C015,C013
S00512,C002,C011,C013
S00513,C001,C020,C017
S00514,C014,C005,C013
S00515,C007,C011,C020
S00516,C012,C015,C004
S00517,C015,C012,C019
S00518,C015,C011,C016
S00519,C007,C019,C008
S00520,C008,C019,C018
S00521,C001,C005,C020
S00522,C014,C002,C020
S00523,C013,C014,C009
S00524,C017,C020,C018
S00525,C001,C020,C005
S00526,C013,C012,C005
S00527,C020,C008,C011
S00528,C005,C004,C015
S00529,C002,C004,C015
S00530,C017,C002,C011
S00531,C008,C010,C001
S00532,C007,C008,C006
S00533,C011,C010,C012
S00534,C003,C002,C004
S00535,C020,C003,C005
S00536,C002,C016,C018
S00537,C005,C015,C013
S00538,C012,C019,C006
S00539,C006,C007,C008
S00540,C009,C011,C007
S00541,C009,C011,C007
S00542,C010,C013,C012
S00543,C001,C016,C017
S00544,C017,C014,C019
S00545,C007,C006,C008
S00546,C007,C018,C010
S00547,C016,C008,C007
S00548,C007,C002,C009
S00549,C019,C003,C011
S00550,C014,C005,C004
S00551,C014,C003,C017
S00552,C017,C008,C018
S00553,C003,C004,C001
S00554,C015,C014,C005
S00555,C003,C004,C014
S00556,C012,C011,C004
S00557,C003,C005,C004
S00558,C003,C015,C013
S00559,C020,C001,C004
S00560,C001,C018,C007
S00561,C009,C011,C014
S00562,C007,C008,C020
S00563,C001,C015,C018
S00564,C007,C001,C009
S00565,C007,C006,C008
S00566,C007,C017,C008
S00567,C001,C002,C012
S00568,C020,C016,C015
S00569,C007,C014,C009
S00570,C015,C013,C012
S00571,C002,C001,C019
S00572,C009,C007,C012
S00573,C011,C012,C009
S00574,C008,C019,C007
S00575,C011,C010,C013
S00576,C012,C014,C011
S00577,C002,C016,C017
S00578,C001,C012,C014
S00579,C015,C004,C001
S00580,C014,C018,C013
S00581,C014,C010,C020
S00582,C012,C014,C011
S00583,C016,C018,C014
S00584,C007,C010,C009
S00585,C010,C008,C011
S00586,C012,C011,C014
S00587,C007,C008,C019
S00588,C017,C016,C011
S00589,C012,C013,C018
S00590,C012,C011,C005
S00591,C012,C018,C011
S00592,C008,C007,C002
S00593,C019,C002,C001
S00594,C006,C019,C016
S00595,C018,C020,C019
S00596,C017,C007,C019
S00597,C010,C013,C011
S00598,C006,C003,C013
S00599,C002,C014,C003
S00600,C020,C012,C016
S00601,C017,C006,C012
S00602,C011,C020,C012
S00603,C007,C008,C009
S00604,C009,C007,C006
S00605,C010,C011,C009
S00606,C016,C017,C015
S00607,C015,C018,C019
S00608,C016,C017,C018
S00609,C006,C007,C013
S00610,C019,C017,C013
S00611,C012,C004,C003
S00612,C012,C020,C010
S00613,C004,C003,C005
S00614,C005,C002,C003
S00615,C016,C006,C004
S00616,C002,C013,C003
S00617,C009,C018,C017
S00618,C010,C012,C004
S00619,C019,C020,C001
S00620,C015,C014,C019
S00621,C016,C009,C002
S00622,C005,C002,C004
S00623,C015,C012,C002
S00624,C013,C011,C012
S00625,C014,C006,C013
S00626,C018,C019,C017
S00627,C014,C005,C003
S00628,C019,C018,C017
S00629,C013,C003,C020
S00630,C019,C018,C017
S00631,C006,C016,C020
S00632,C011,C003,C004
S00633,C011,C013,C010
S00634,C003,C014,C020
S00635,C003,C007,C013
S00636,C013,C002,C017
S00637,C019,C020,C011
S00638,C004,C014,C013
S00639,C002,C003,C001
S00640,C003,C018,C020
S00641,C012,C008,C013
S00642,C005,C006,C010
S00643,C002,C013,C018
S00644,C014,C013,C020
S00645,C001,C007,C014
S00646,C008,C010,C011
S00647,C002,C005,C013
S00648,C008,C011,C017
S00649,C017,C003,C002
S00650,C011,C012,C010
S00651,C009,C007,C018
S00652,C005,C015,C019
S00653,C008,C006,C016
S00654,C005,C004,C014
S00655,C005,C002,C018
S00656,C008,C006,C007
S00657,C004,C003,C020
S00658,C002,C015,C001
S00659,C007,C012,C006
S00660,C019,C008,C009
S00661,C009,C007,C010
S00662,C002,C014,C016
S00663,C015,C001,C003
S00664,C014,C012,C015
S00665,C003,C001,C005
S00666,C002,C003,C001
S00667,C010,C018,C012
S00668,C001,C004,C018
S00669,C015,C014,C010
S00670,C012,C014,C010
S00671,C015,C002,C003
S00672,C013,C014,C002
S00673,C005,C014,C015
S00674,C013,C015,C018
S00675,C005,C004,C012
S00676,C003,C002,C005
S00677,C008,C017,C006
S00678,C001,C018,C019
S00679,C003,C005,C014
S00680,C018,C020,C012
S00681,C006,C011,C016
S00682,C018,C017,C002
S00683,C010,C009,C007
S00684,C002,C004,C005
S00685,C017,C020,C016
S00686,C014,C011,C004
S00687,C020,C004,C012
S00688,C002,C001,C003
S00689,C005,C001,C019
S00690,C009,C017,C004
S00691,C005,C002,C003
S00692,C005,C010,C014
S00693,C014,C002,C015
S00694,C001,C009,C002
S00695,C013,C014,C015
S00696,C010,C020,C012
S00697,C008,C006,C007
S00698,C004,C003,C005
S00699,C003,C015,C002
S00700,C018,C020,C003
S00701,C010,C013,C011
S00702,C012,C013,C011
S00703,C020,C004,C002
S00704,C001,C019,C018
S00705,C003,C013,C014
S00706,C012,C014,C011
S00707,C006,C005,C003
S00708,C011,C003,C008
S00709,C013,C020,C003
S00710,C001,C019,C002
S00711,C011,C015,C013
S00712,C008,C010,C014
S00713,C008,C003,C007
S00714,C017,C012,C007
S00715,C015,C005,C004
S00716,C005,C015,C004
S00717,C016,C017,C003
S00718,C007,C020,C017
S00719,C003,C004,C007
S00720,C015,C014,C012
S00721,C017,C016,C018
S00722,C015,C005,C013
S00723,C010,C009,C011
S00724,C007,C008,C009
S00725,C008,C005,C009
S00726,C019,C011,C012
S00727,C018,C019,C017
S00728,C001,C004,C005
S00729,C001,C019,C016
S00730,C003,C001,C004
S00731,C008,C020,C006
S00732,C012,C015,C013
S00733,C004,C005,C012
S00734,C009,C006,C016
S00735,C015,C014,C012
S00736,C020,C005,C012
S00737,C002,C003,C004
S00738,C005,C015,C004
S00739,C020,C003,C004
S00740,C010,C016,C018
S00741,C003,C015,C005
S00742,C001,C017,C005
S00743,C012,C013,C014
S00744,C019,C001,C002
S00745,C011,C012,C017
S00746,C014,C020,C008
S00747,C010,C009,C007
S00748,C008,C013,C012
S00749,C020,C003,C004
S00750,C019,C020,C002
S00751,C002,C001,C004
S00752,C018,C019,C002
S00753,C019,C020,C004
S00754,C014,C011,C007
S00755,C003,C015,C012
S00756,C002,C020,C019
S00757,C017,C019,C001
S00758,C008,C003,C007
S00759,C017,C004,C005
S00760,C002,C017,C001
S00761,C001,C010,C018
S00762,C001,C005,C002
S00763,C019,C020,C017
S00764,C003,C004,C001
S00765,C012,C008,C006
S00766,C010,C009,C012
S00767,C012,C017,C016
S00768,C002,C019,C004
S00769,C016,C012,C004
S00770,C016,C008,C017
S00771,C003,C008,C001
S00772,C005,C015,C019
S00773,C006,C004,C003
S00774,C011,C009,C007
S00775,C006,C018,C020
S00776,C018,C017,C001
S00777,C003,C014,C005
S00778,C010,C009,C008
S00779,C004,C005,C014
S00780,C009,C011,C007
S00781,C005,C003,C004
S00782,C012,C014,C011
S00783,C011,C012,C004
S00784,C008,C012,C010
S00785,C018,C019,C003
S00786,C004,C002,C005
S00787,C014,C005,C017
S00788,C015,C014,C009
S00789,C009,C006,C008
S00790,C011,C012,C013
S00791,C015,C014,C002
S00792,C019,C004,C008
S00793,C017,C018,C011
S00794,C014,C009,C011
S00795,C009,C020,C007
S00796,C008,C009,C006
S00797,C007,C008,C020
S00798,C010,C009,C012
S00799,C004,C010,C013
S00800,C007,C012,C015
S00801,C005,C003,C011
S00802,C003,C004,C002
S00803,C009,C011,C015
S00804,C001,C018,C019
S00805,C012,C011,C013
S00806,C018,C001,C002
S00807,C020,C002,C008
S00808,C011,C006,C008
S00809,C001,C016,C002
S00810,C015,C003,C014
S00811,C011,C007,C013
S00812,C007,C004,C005
S00813,C009,C012,C008
S00814,C002,C014,C009
S00815,C001,C017,C018
S00816,C008,C016,C007
S00817,C013,C015,C001
S00818,C009,C007,C011
S00819,C014,C012,C006
S00820,C006,C020,C009
S00821,C014,C015,C005
S00822,C006,C002,C008
S00823,C012,C013,C014
S00824,C008,C010,C019
S00825,C010,C009,C011
S00826,C008,C009,C007
S00827,C019,C020,C001
S00828,C001,C019,C011
S00829,C004,C003,C005
S00830,C018,C019,C009
S00831,C006,C011,C007
S00832,C017,C018,C002
S00833,C010,C016,C009
S00834,C001,C015,C017
S00835,C008,C007,C006
S00836,C008,C007,C012
S00837,C020,C017,C019
S00838,C006,C007,C017
S00839,C003,C015,C002
S00840,C004,C003,C005
S00841,C019,C002,C004
S00842,C008,C018,C017
S00843,C009,C010,C008
S00844,C001,C006,C003
S00845,C020,C013,C009
S00846,C009,C008,C011
S00847,C003,C007,C004
S00848,C003,C007,C002
S00849,C017,C018,C019
S00850,C017,C008,C013
S00851,C007,C012,C014
S00852,C002,C010,C007
S00853,C007,C018,C010
S00854,C002,C005,C004
S00855,C017,C002,C016
S00856,C003,C017,C018
S00857,C012,C020,C018
S00858,C017,C019,C018
S00859,C015,C005,C013
S00860,C016,C007,C017
S00861,C012,C004,C008
S00862,C012,C010,C009
S00863,C002,C009,C004
S00864,C015,C005,C014
S00865,C004,C002,C017
S00866,C016,C017,C008
S00867,C005,C020,C019
S00868,C005,C018,C003
S00869,C005,C015,C006
S00870,C012,C006,C008
S00871,C009,C010,C007
S00872,C008,C006,C009
S00873,C017,C012,C016
S00874,C017,C018,C016
S00875,C014,C008,C015
S00876,C019,C017,C006
S00877,C013,C011,C010
S00878,C016,C017,C010
S00879,C013,C012,C002
S00880,C017,C016,C018
S00881,C005,C002,C004
S00882,C020,C018,C007
S00883,C005,C015,C001
S00884,C008,C007,C001
S00885,C016,C003,C008
S00886,C011,C015,C013
S00887,C002,C009,C014
S00888,C001,C017,C003
S00889,C018,C020,C019
S00890,C017,C018,C020
S00891,C007,C008,C010
S00892,C020,C014,C016
S00893,C004,C005,C013
S00894,C001,C019,C018
S00895,C003,C004,C015
S00896,C006,C011,C004
S00897,C007,C011,C020
S00898,C008,C009,C001
S00899,C019,C018,C002
S00900,C014,C015,C005
S00901,C018,C003,C019
S00902,C013,C020,C012
S00903,C006,C009,C008
S00904,C011,C005,C010
S00905,C002,C001,C018
S00906,C004,C008,C014
S00907,C001,C012,C013
S00908,C018,C017,C019
S00909,C014,C012,C004
S00910,C001,C018,C002
S00911,C002,C020,C015
S00912,C019,C002,C006
S00913,C007,C010,C009
S00914,C014,C013,C018
S00915,C005,C015,C003
S00916,C004,C008,C006
S00917,C013,C016,C006
S00918,C009,C013,C010
S00919,C015,C017,C007
S00920,C008,C009,C007
S00921,C014,C011,C015
S00922,C009,C002,C011
S00923,C008,C007,C006
S00924,C015,C005,C014
S00925,C013,C003,C009
S00926,C003,C015,C014
S00927,C002,C018,C008
S00928,C013,C002,C005
S00929,C004,C002,C003
S00930,C008,C007,C009
S00931,C013,C002,C014
S00932,C008,C016,C001
S00933,C012,C011,C013
S00934,C003,C017,C004
S00935,C006,C007,C001
S00936,C019,C009,C016
S00937,C011,C012,C015
S00938,C017,C018,C008
S00939,C007,C006,C020
S00940,C019,C018,C017
S00941,C016,C009,C018
S00942,C016,C012,C002
S00943,C008,C018,C016
S00944,C019,C016,C003
S00945,C019,C011,C007
S00946,C016,C020,C019
S00947,C016,C018,C017
S00948,C016,C006,C001
S00949,C001,C019,C003
S00950,C006,C008,C009
S00951,C003,C011,C020
S00952,C019,C017,C018
S00953,C007,C008,C013
S00954,C012,C015,C011
S00955,C012,C009,C011
S00956,C001,C002,C019
S00957,C004,C006,C015
S00958,C013,C005,C004
S00959,C013,C003,C014
S00960,C010,C009,C007
S00961,C014,C015,C005
S00962,C012,C014,C013
S00963,C019,C018,C006
S00964,C008,C009,C010
S00965,C018,C017,C019
S00966,C005,C004,C011
S00967,C014,C002,C019
S00968,C013,C008,C014
S00969,C020,C009,C002
S00970,C009,C006,C015
S00971,C018,C001,C016
S00972,C018,C013,C016
S00973,C010,C019,C009
S00974,C019,C005,C004
S00975,C009,C010,C013
S00976,C017,C014,C019
S00977,C012,C013,C010
S00978,C012,C020,C009
S00979,C006,C010,C007
S00980,C001,C019,C009
S00981,C011,C014,C012
S00982,C009,C003,C008
S00983,C006,C009,C008
S00984,C020,C014,C004
S00985,C004,C003,C016
S00986,C011,C009,C012
S00987,C001,C017,C018
S00988,C017,C011,C001
S00989,C017,C007,C002
S00990,C003,C005,C004
S00991,C017,C009,C020
S00992,C004,C002,C018
S00993,C015,C014,C009
S00994,C013,C003,C011
S00995,C005,C020,C014
S00996,C015,C005,C020
S00997,C008,C014,C013
S00998,C014,C001,C020
S00999,C007,C009,C016
S01000,C017,C016,C003
S01001,C005,C012,C013
S01002,C020,C017,C004
S01003,C010,C009,C011
S01004,C010,C009,C013
S01005,C011,C007,C010
S01006,C019,C018,C014
S01007,C008,C014,C001
S01008,C020,C002,C006
S01009,C010,C020,C009
S01010,C007,C002,C012
S01011,C005,C010,C013
S01012,C016,C007,C008
S01013,C002,C004,C019
S01014,C001,C005,C004
S01015,C011,C012,C014
S01016,C004,C014,C012
S01017,C004,C002,C015
S01018,C017,C013,C012
S01019,C018,C006,C020
S01020,C011,C009,C010
S01021,C009,C002,C010
S01022,C009,C010,C008
S01023,C020,C001,C019
S01024,C014,C012,C005
S01025,C015,C004,C014
S01026,C014,C004,C010
S01027,C020,C007,C006
S01028,C010,C013,C012
S01029,C007,C008,C014
S01030,C010,C016,C008
S01031,C016,C004,C019
S01032,C018,C006,C004
S01033,C003,C004,C018
S01034,C017,C016,C019
S01035,C009,C018,C007
S01036,C009,C010,C008
S01037,C006,C007,C019
S01038,C007,C009,C020
S01039,C011,C012,C013
S01040,C007,C008,C020
S01041,C018,C019,C020
S01042,C016,C012,C017
S01043,C013,C004,C012
S01044,C009,C018,C004
S01045,C015,C014,C013
S01046,C006,C016,C019
S01047,C008,C016,C014
S01048,C012,C013,C015
S01049,C004,C005,C003
S01050,C012,C020,C013
S01051,C019,C003,C002
S01052,C008,C007,C019
S01053,C003,C004,C020
S01054,C001,C003,C018
S01055,C014,C020,C013
S01056,C004,C013,C012
S01057,C011,C007,C013
S01058,C010,C009,C002
S01059,C008,C010,C007
S01060,C011,C014,C013
S01061,C010,C012,C011
S01062,C008,C007,C006
S01063,C008,C016,C018
S01064,C012,C007,C008
S01065,C018,C016,C019
S01066,C012,C009,C006
S01067,C008,C005,C017
S01068,C005,C003,C004
S01069,C013,C014,C015
S01070,C005,C004,C013
S01071,C005,C003,C004
S01072,C013,C015,C005
S01073,C004,C018,C003
S01074,C020,C009,C008
